run_id,run_name,state,created_at,url,summary.f1,summary.map50,summary.map50_95,summary.precision,summary.recall,summary.train_time_s,config.lr0,config.batch,config.model,config.epochs,config.weight_decay,summary.epoch,summary.lr,summary.train/detection_f1,summary.train/fire_iou,summary.train/loss,summary.val/detection_f1,summary.val/fire_dice,summary.val/fire_iou,summary.val/fire_precision,summary.val/fire_recall,summary.val/loss,summary.val/mean_iou,config.device,config.batch_size,config.num_epochs,config.focal_gamma,config.in_channels,config.num_classes,config.patches_dir,config.learning_rate,config.use_focal_loss,config.use_fire_augment,config.use_class_weights,config.fire_sample_weight,config.use_weighted_sampling,summary.train/acc,summary.train/f1,summary.train/precision,summary.train/recall,summary.val/acc,summary.val/auc,summary.val/f1,summary.val/precision,summary.val/recall,config.dropout,config.pos_weight,summary.train/mean_iou,config.lr,config.dual_head,config.checkpoint,config.severity_finetune,config.architecture,config.encoder_name,config.sen2fire_dir,config.combined_binary
zr80otqj,v3_finetune_severity_resnet50_deeplabv3plus,finished,2026-03-09T13:20:42Z,https://wandb.ai/adrian-corvin-salceanu-upc-barcelona/fire-detection/runs/zr80otqj,,,,,,,,,,30.0,,8.0,0.0005,,0.2830483615398407,0.9054167220102888,,,0.3092329204082489,,0.5123961567878723,0.7057255963484447,0.33290645480155945,,16.0,,,8.0,5.0,../patches_gra,,,,,,,,,,,,,,,,,,0.3312694728374481,0.001,True,output/v3_combined_binary_resnet50_deeplabv3plus/checkpoints/best_model.pt,True,,,,
j196hvqv,v3_finetune_severity_resnet50_deeplabv3plus,failed,2026-03-09T13:05:37Z,https://wandb.ai/adrian-corvin-salceanu-upc-barcelona/fire-detection/runs/j196hvqv,,,,,,,,,,30.0,,,,,,,,,,,,,,,16.0,,,8.0,5.0,../patches_gra,,,,,,,,,,,,,,,,,,,0.001,True,output/v3_combined_binary_resnet50_deeplabv3plus/checkpoints/best_model.pt,True,,,,
wjm2gvj7,v3_finetune_severity_efficientnet-b2_unetpp,finished,2026-03-09T12:48:53Z,https://wandb.ai/adrian-corvin-salceanu-upc-barcelona/fire-detection/runs/wjm2gvj7,,,,,,,,,,30.0,,15.0,0.0005,,0.30580177903175354,0.9594969206386142,,,0.356765478849411,,0.5590899586677551,0.7125539859135945,0.33412885665893555,,16.0,,,8.0,5.0,../patches_gra,,,,,,,,,,,,,,,,,,0.300927996635437,0.001,True,output/v3_combined_binary_efficientnet-b2_unetpp/checkpoints/best_model.pt,True,,,,
8f8h6dza,v3_finetune_severity_resnet50_deeplabv3plus,failed,2026-03-09T12:38:54Z,https://wandb.ai/adrian-corvin-salceanu-upc-barcelona/fire-detection/runs/8f8h6dza,,,,,,,,,,30.0,,,,,,,,,,,,,,,16.0,,,8.0,5.0,../patches_gra,,,,,,,,,,,,,,,,,,,0.001,True,output/v3_combined_binary_resnet50_deeplabv3plus/checkpoints/best_model.pt,True,,,,
5ryow5t7,v3_finetune_severity_efficientnet-b2_unetpp,finished,2026-03-09T11:58:25Z,https://wandb.ai/adrian-corvin-salceanu-upc-barcelona/fire-detection/runs/5ryow5t7,,,,,,,,,,30.0,,14.0,0.00025,,0.29768839478492737,0.9647471655739678,,,0.3639393150806427,,0.568293035030365,0.7130892395973205,0.3364329934120178,,16.0,,,8.0,5.0,../patches_gra,,,,,,,,,,,,,,,,,,0.29986825585365295,0.001,True,output/v3_combined_binary_efficientnet-b2_unetpp/checkpoints/best_model.pt,True,,,,
9e4me6k5,scratch+s2f-tune-top2-lr4.0e-04-wd1.8e-05-do0.10,killed,2026-03-09T11:45:18Z,https://wandb.ai/adrian-corvin-salceanu-upc-barcelona/fire-detection/runs/9e4me6k5,,,,,,,,,ScratchFireModel,,1.7666252081045416e-05,1.0,,,,0.49839587667316354,,,,,,0.5051548349742706,,cuda,16.0,6.0,,,,patches,0.0003965972598715855,,,,,,0.7660680368534672,0.7336675247417979,0.8211175018038257,0.6909455965358527,0.7649038461059195,0.8569201800005839,0.43807820946065407,0.4571420778929771,0.5142542072142807,0.1,,,,,,,,,,
tmocrv0o,scratch+s2f-tune-top1-lr2.5e-04-wd6.0e-05-do0.30,finished,2026-03-09T11:40:59Z,https://wandb.ai/adrian-corvin-salceanu-upc-barcelona/fire-detection/runs/tmocrv0o,,,,,,,,,ScratchFireModel,,5.98245803066388e-05,3.0,,,,0.4460454312739549,,,,,,0.41078462898731233,,cuda,16.0,4.0,,,,patches,0.000253264801930066,,,,,,0.792556980007427,0.7650781327549774,0.8458478713739053,0.7248648078317158,0.830128205076216,0.8893659525308932,0.3887192951409969,0.5368589741491911,0.3278361274721695,0.3,,,,,,,,,,
pqvle9f1,v3_finetune_severity_mobilenet_unet,finished,2026-03-09T10:58:53Z,https://wandb.ai/adrian-corvin-salceanu-upc-barcelona/fire-detection/runs/pqvle9f1,,,,,,,,,,30.0,,18.0,0.0005,,0.30013707280158997,0.971738477812873,,,0.3638148903846741,,0.5578954219818115,0.7115076745549838,0.3317283093929291,,16.0,,,8.0,5.0,../patches_gra,,,,,,,,,,,,,,,,,,0.29486680030822754,0.001,True,output/v3_combined_binary_mobilenet_unet/checkpoints/best_model.pt,True,,,,
2oua0yxr,v3_finetune_severity_resnet18_unet,finished,2026-03-09T10:33:43Z,https://wandb.ai/adrian-corvin-salceanu-upc-barcelona/fire-detection/runs/2oua0yxr,,,,,,,,,,30.0,,7.0,0.0005,,0.3024837374687195,0.9722014718585544,,,0.3581589460372925,,0.5690441727638245,0.755885564784209,0.3120158016681671,,16.0,,,8.0,5.0,../patches_gra,,,,,,,,,,,,,,,,,,0.3018471300601959,0.001,True,output/v3_combined_binary_resnet18_unet/checkpoints/best_model.pt,True,,,,
sb5t3qp4,v3_finetune_severity_resnet50_unetpp,finished,2026-03-08T22:28:35Z,https://wandb.ai/adrian-corvin-salceanu-upc-barcelona/fire-detection/runs/sb5t3qp4,,,,,,,,,,30.0,,15.0,0.0005,,0.3475412130355835,0.90684830877516,,,0.4068611264228821,,0.6245915293693542,0.6916999330123266,0.34435153007507324,,16.0,,,8.0,5.0,../patches_gra,,,,,,,,,,,,,,,,,,0.3267590403556824,0.001,True,output/v3_combined_binary_resnet50_unetpp/checkpoints/best_model.pt,True,,,,
